Temp ( C ),Time/min,5 K/min,5 K/min,,Temp ( C ),Time/min,10 K/min,10 K/min,,Temp ( C ),Time/min,15 K/min,15 K/min,,Temp ( C ),Time/min,20 K/min,20 K/min
5.00,5.00,5.00,5.00,,10.00,10.00,10.00,10.00,,15.00,15.00,15.00,15.00,,20.00,20.00,20.00,20.00
4.80,4.80,4.80,4.80,,9.00,9.00,9.00,9.00,,8.30,8.30,8.30,8.30,,7.70,7.70,7.70,7.70
29.692,0.00E+00,100,0.61361,,30.945,0,100,-0.53178,,27.457,0.00E+00,100,-0.27409,,27.043,0.00E+00,100,-0.22254
34.692,1.63523,99.63026,-0.50031,,35.945,1.15249,99.41895,-0.59022,,32.457,0.74654,99.94055,-0.31464,,32.043,0.6226,100.05211,-0.21649
39.692,2.66807,99.00546,-0.61951,,40.945,1.78178,99.01448,-0.70916,,37.457,1.18028,99.73321,-0.61582,,37.043,0.97747,99.91248,-0.58787
44.692,3.61761,98.41193,-0.63960,,45.945,2.31515,98.61156,-0.82800,,42.457,1.55095,99.46553,-0.88569,,42.043,1.2787,99.68636,-0.91144
49.692,4.55174,97.77192,-0.61778,,50.945,2.80751,98.16741,-0.92455,,47.457,1.89064,99.11664,-1.15184,,47.043,1.55185,99.40681,-1.22792
54.692,5.49044,97.23012,-0.55834,,55.945,3.28002,97.70495,-0.97909,,52.457,2.213,98.70482,-1.39656,,52.043,1.80762,99.05817,-1.54365
59.692,6.44212,96.73528,-0.47780,,60.945,3.74204,97.24454,-0.99173,,57.457,2.52439,98.22641,-1.59875,,57.043,2.0517,98.62919,-1.82937
64.692,7.40735,96.32233,-0.39709,,65.945,4.19916,96.78412,-0.96095,,62.457,2.82906,97.70656,-1.73983,,62.043,2.28796,98.15949,-2.05491
69.692,8.38277,95.96062,-0.32190,,70.945,4.65525,96.34863,-0.88950,,67.457,3.12935,97.15617,-1.80057,,67.043,2.51866,97.64376,-2.19969
74.692,9.36543,95.69632,-0.24575,,75.945,5.11194,95.96643,-0.79032,,72.457,3.42661,96.60622,-1.77269,,72.043,2.74505,97.11285,-2.25426
79.692,10.34998,95.48125,-0.19782,,80.945,5.57239,95.62467,-0.67514,,77.457,3.72245,96.08899,-1.67624,,77.043,2.96816,96.59311,-2.22183
84.692,11.33847,95.2997,-0.14818,,85.945,6.03595,95.34248,-0.55342,,82.457,4.01772,95.60677,-1.52930,,82.043,3.18885,96.1012,-2.11388
89.692,12.32981,95.18127,-0.11698,,90.945,6.50445,95.1061,-0.42771,,87.457,4.31368,95.16981,-1.34144,,87.043,3.40775,95.64262,-1.94825
94.692,13.32028,95.07885,-0.09183,,95.945,6.97793,94.94748,-0.31914,,92.457,4.61099,94.80585,-1.13856,,92.043,3.62605,95.23362,-1.74600
99.692,14.31004,95.00476,-0.07688,,100.945,7.45657,94.81402,-0.24532,,97.457,4.91032,94.49781,-0.94183,,97.043,3.84406,94.87228,-1.52475
104.692,15.29799,94.93141,-0.06948,,105.945,7.93956,94.70969,-0.18662,,102.457,5.213,94.24432,-0.75929,,102.043,4.06275,94.56044,-1.29737
109.692,16.2891,94.86896,-0.05960,,110.945,8.42665,94.63834,-0.14540,,107.457,5.51941,94.0416,-0.59856,,107.043,4.28248,94.30828,-1.08007
114.692,17.28041,94.80445,-0.05711,,115.945,8.91734,94.57184,-0.11780,,112.457,5.82934,93.8812,-0.46059,,112.043,4.50386,94.10003,-0.88837
119.692,18.26674,94.76458,-0.05867,,120.945,9.40614,94.52319,-0.09554,,117.457,6.14344,93.76098,-0.35287,,117.043,4.72681,93.92976,-0.72863
124.692,19.25198,94.69148,-0.05716,,125.945,9.89523,94.48073,-0.07935,,122.457,6.45871,93.66616,-0.28714,,122.043,4.95321,93.78693,-0.59640
129.692,20.23749,94.63298,-0.05471,,130.945,10.38412,94.44884,-0.07118,,127.457,6.77599,93.58548,-0.24611,,127.043,5.18177,93.66192,-0.49085
134.692,21.22443,94.58757,-0.05009,,135.945,10.87317,94.41224,-0.06768,,132.457,7.09461,93.51291,-0.21728,,132.043,5.40978,93.57734,-0.41904
139.692,22.21156,94.54422,-0.05486,,140.945,11.36248,94.37891,-0.06403,,137.457,7.41574,93.45199,-0.20263,,137.043,5.63951,93.49505,-0.37956
144.692,23.19934,94.47505,-0.06771,,145.945,11.85133,94.35326,-0.06555,,142.457,7.73759,93.38445,-0.19625,,142.043,5.87121,93.39771,-0.35782
149.692,24.18615,94.41212,-0.06986,,150.945,12.33999,94.3168,-0.07287,,147.457,8.06063,93.32468,-0.19219,,147.043,6.10397,93.32873,-0.34400
154.692,25.17327,94.33687,-0.08124,,155.945,12.82814,94.2788,-0.07875,,152.457,8.38356,93.26142,-0.18853,,152.043,6.33812,93.24846,-0.33864
159.692,26.16015,94.25237,-0.08995,,160.945,13.31586,94.24411,-0.09208,,157.457,8.70608,93.20023,-0.18261,,157.043,6.57267,93.1701,-0.34105
164.692,27.14675,94.15864,-0.09991,,165.945,13.80377,94.19182,-0.11379,,162.457,9.02917,93.14529,-0.18436,,162.043,6.80827,93.08962,-0.34951
169.692,28.13476,94.04971,-0.11746,,170.945,14.29187,94.1322,-0.13980,,167.457,9.35199,93.08756,-0.20351,,167.043,7.04536,93.00632,-0.36369
174.692,29.12235,93.92411,-0.13619,,175.945,14.78059,94.05578,-0.16698,,172.457,9.67537,93.01311,-0.23010,,172.043,7.28327,92.92212,-0.38032
179.692,30.11198,93.78542,-0.16755,,180.945,15.27046,93.97131,-0.19929,,177.457,9.99903,92.93501,-0.25358,,177.043,7.52201,92.82086,-0.40037
184.692,31.10431,93.59461,-0.19365,,185.945,15.76106,93.86233,-0.24393,,182.457,10.32347,92.85197,-0.28557,,182.043,7.76157,92.73984,-0.43374
189.692,32.09781,93.40217,-0.22167,,190.945,16.25382,93.73702,-0.29932,,187.457,10.64833,92.75619,-0.33811,,187.043,8.00163,92.62246,-0.48114
194.692,33.093,93.15486,-0.25536,,195.945,16.74731,93.56335,-0.35811,,192.457,10.97425,92.63424,-0.40482,,192.043,8.24287,92.4992,-0.53738
199.692,34.09018,92.88511,-0.28831,,200.945,17.24287,93.37573,-0.41360,,197.457,11.30057,92.49609,-0.46788,,197.043,8.48594,92.36695,-0.60775
204.692,35.08724,92.56557,-0.32339,,205.945,17.73966,93.15925,-0.46744,,202.457,11.62864,92.32552,-0.52862,,202.043,8.72978,92.21685,-0.69665
209.692,36.08521,92.25771,-0.36250,,210.945,18.23767,92.91614,-0.52896,,207.457,11.95816,92.14709,-0.59956,,207.043,8.9745,92.03412,-0.79710
214.692,37.08419,91.85179,-0.40413,,215.945,18.73627,92.63355,-0.60069,,212.457,12.28833,91.93624,-0.68711,,212.043,9.22023,91.81643,-0.89942
219.692,38.08445,91.4307,-0.46033,,220.945,19.23542,92.31456,-0.67852,,217.457,12.61968,91.69244,-0.78034,,217.043,9.46715,91.59178,-1.00623
224.692,39.08143,90.94518,-0.52331,,225.945,19.73498,91.95815,-0.76745,,222.457,12.95205,91.41926,-0.87771,,222.043,9.71497,91.3286,-1.12586
229.692,40.08264,90.3881,-0.58980,,230.945,20.23477,91.55049,-0.87335,,227.457,13.28448,91.10983,-0.98699,,227.043,9.96335,91.03496,-1.25937
234.692,41.08222,89.77372,-0.67950,,235.945,20.73365,91.09375,-1.00208,,232.457,13.61705,90.76219,-1.11015,,232.043,10.21187,90.7075,-1.40970
239.692,42.08364,89.01845,-0.79776,,240.945,21.2334,90.56215,-1.16706,,237.457,13.94995,90.37597,-1.25773,,237.043,10.46097,90.34407,-1.59106
244.692,43.08273,88.17976,-0.92020,,245.945,21.73232,89.93619,-1.36639,,242.457,14.28285,89.93682,-1.45090,,242.043,10.71013,89.93651,-1.81858
249.692,44.07905,87.178,-1.06508,,250.945,22.23165,89.20589,-1.60687,,247.457,14.6156,89.42343,-1.69827,,247.043,10.95907,89.45456,-2.10372
254.692,45.07705,86.05573,-1.23646,,255.945,22.73055,88.34299,-1.89783,,252.457,14.94838,88.81656,-2.00671,,252.043,11.20863,88.90061,-2.47534
259.692,46.07537,84.72262,-1.42640,,260.945,23.22856,87.33174,-2.24885,,257.457,15.28121,88.1014,-2.40410,,257.043,11.45791,88.26217,-2.98368
264.692,47.07416,83.19855,-1.60881,,265.945,23.72613,86.12256,-2.66550,,262.457,15.61355,87.2502,-2.92956,,262.043,11.70716,87.51551,-3.63071
269.692,48.07186,81.51943,-1.79579,,270.945,24.22464,84.67216,-3.09410,,267.457,15.94561,86.14128,-3.52854,,267.043,11.95608,86.55288,-4.32128
274.692,49.06778,79.62502,-1.95188,,275.945,24.72271,83.02538,-3.46365,,272.457,16.27745,84.94898,-4.08478,,272.043,12.20485,85.30249,-4.99293
279.692,50.06835,77.61284,-2.08449,,280.945,25.2215,81.18412,-3.75016,,277.457,16.60911,83.45454,-4.59455,,277.043,12.45357,84.00469,-5.68221
284.692,51.06644,75.46717,-2.23612,,285.945,25.72036,79.25948,-3.95048,,282.457,16.94064,81.8465,-5.08946,,282.043,12.70206,82.50756,-6.39871
289.692,52.06496,73.14136,-2.38743,,290.945,26.21945,77.24468,-4.11201,,287.457,17.27283,80.06725,-5.52092,,287.043,12.95046,80.8164,-7.07078
294.692,53.06237,70.69612,-2.56928,,295.945,26.71815,75.15942,-4.26616,,292.457,17.60516,78.15685,-5.83725,,292.043,13.19925,78.93091,-7.61124
299.692,54.05961,68.01634,-2.82064,,300.945,27.21712,73.00305,-4.45947,,297.457,17.93791,76.14757,-6.03788,,297.043,13.44851,76.93787,-7.97797
304.692,55.05702,65.08649,-3.10938,,305.945,27.71573,70.73369,-4.74562,,302.457,18.27112,74.11239,-6.17647,,302.043,13.69829,74.91143,-8.20540
309.692,56.05522,61.82235,-3.41580,,310.945,28.2144,68.30824,-5.17335,,307.457,18.60493,72.04018,-6.34944,,307.043,13.9483,72.83721,-8.38165
314.692,57.05256,58.25283,-3.66079,,315.945,28.71279,65.62443,-5.77829,,312.457,18.93804,69.91264,-6.64573,,312.043,14.1986,70.7264,-8.60943
319.692,58.05083,54.50101,-3.73023,,320.945,29.21071,62.58815,-6.50340,,317.457,19.27095,67.64611,-7.13193,,317.043,14.44883,68.57211,-8.99398
324.692,59.04826,50.79148,-3.53156,,325.945,29.70871,59.14121,-7.17182,,322.457,19.60291,65.22709,-7.86910,,322.043,14.69877,66.31092,-9.61970
329.692,60.04823,47.41581,-3.08523,,330.945,30.20633,55.37025,-7.53307,,327.457,19.93449,62.49479,-8.83052,,327.043,14.94845,63.86306,-10.51311
334.692,61.04702,44.62065,-2.47842,,335.945,30.70398,51.49945,-7.35132,,332.457,20.26635,59.37187,-9.81945,,332.043,15.19776,61.17072,-11.60042
339.692,62.04465,42.47803,-1.82895,,340.945,31.20187,47.88766,-6.54986,,337.457,20.59781,55.91331,-10.50299,,337.043,15.44681,58.11276,-12.65477
344.692,63.04351,40.95995,-1.28938,,345.945,31.70074,44.84718,-5.28015,,342.457,20.92869,52.28278,-10.55242,,342.043,15.69549,54.72882,-13.32287
349.692,64.04233,39.90572,-0.91608,,350.945,32.1995,42.56413,-3.86847,,347.457,21.26129,48.72398,-9.77431,,347.043,15.94442,51.21356,-13.26255
354.692,65.04039,39.14575,-0.69536,,355.945,32.69869,41.08607,-2.72012,,352.457,21.5948,45.61247,-8.24589,,352.043,16.1937,47.77374,-12.29296
359.692,66.04001,38.52821,-0.57537,,360.945,33.19792,39.97295,-1.97619,,357.457,21.92901,43.14032,-6.32570,,357.043,16.44376,44.74672,-10.51657
364.692,67.03862,37.98383,-0.50841,,365.945,33.69653,39.16107,-1.51675,,362.457,22.2634,41.39237,-4.46872,,362.043,16.69429,42.35024,-8.30623
369.692,68.03882,37.52372,-0.46703,,370.945,34.19521,38.51085,-1.25029,,367.457,22.59753,40.30373,-3.11288,,367.043,16.94493,40.61015,-6.12983
374.692,69.03815,37.04393,-0.45604,,375.945,34.69356,37.9418,-1.09880,,372.457,22.93045,39.44009,-2.35726,,372.043,17.19532,39.42066,-4.39569
379.692,70.03658,36.61752,-0.43574,,380.945,35.19209,37.42637,-1.00554,,377.457,23.2626,38.76685,-1.92670,,377.043,17.44512,38.69025,-3.29119
384.692,71.0353,36.18468,-0.42679,,385.945,35.69066,36.94087,-0.94712,,382.457,23.59464,38.19628,-1.66316,,382.043,17.69454,37.99115,-2.68027
389.692,72.03378,35.76436,-0.42864,,390.945,36.18964,36.48478,-0.90309,,387.457,23.9264,37.68125,-1.50408,,387.043,17.94368,37.39291,-2.31593
394.692,73.03281,35.34812,-0.42390,,395.945,36.68842,36.04137,-0.86517,,392.457,24.25822,37.21101,-1.39678,,392.043,18.19264,36.86675,-2.06596
399.692,74.03192,34.91325,-0.42247,,400.945,37.18755,35.62631,-0.84244,,397.457,24.59019,36.76443,-1.32687,,397.043,18.44125,36.39296,-1.89357
404.692,75.03086,34.5094,-0.41818,,405.945,37.68623,35.20826,-0.83016,,402.457,24.92213,36.33122,-1.28286,,402.043,18.69002,35.95125,-1.78010
409.692,76.03052,34.07991,-0.40799,,410.945,38.18469,34.7925,-0.81276,,407.457,25.25428,35.91142,-1.24261,,407.043,18.93885,35.52173,-1.70574
414.692,77.02878,33.68089,-0.40206,,415.945,38.6838,34.39606,-0.78934,,412.457,25.58618,35.50818,-1.20751,,412.043,19.18753,35.10469,-1.65341
419.692,78.02663,33.27264,-0.39655,,420.945,39.18186,34.01004,-0.76650,,417.457,25.91831,35.11553,-1.18745,,417.043,19.43613,34.70346,-1.61323
424.692,79.02656,32.87679,-0.39323,,425.945,39.67941,33.62813,-0.75658,,422.457,26.25086,34.7171,-1.16411,,422.043,19.68525,34.30717,-1.58006
429.692,80.02616,32.49934,-0.38321,,430.945,40.17824,33.26161,-0.75587,,427.457,26.58309,34.34002,-1.12635,,427.043,19.93422,33.92053,-1.54910
434.692,81.02446,32.12732,-0.37634,,435.945,40.67828,32.87534,-0.73491,,432.457,26.91526,33.97246,-1.09075,,432.043,20.183,33.5343,-1.51522
439.692,82.02375,31.73478,-0.38072,,440.945,41.17783,32.51857,-0.70594,,437.457,27.24772,33.61365,-1.06129,,437.043,20.43177,33.15415,-1.47243
444.692,83.0221,31.36042,-0.37447,,445.945,41.67686,32.17109,-0.68978,,442.457,27.58001,33.2685,-1.03299,,442.043,20.68055,32.79641,-1.42121
449.692,84.02091,30.99016,-0.37028,,450.945,42.17637,31.83022,-0.66809,,447.457,27.91173,32.93025,-1.00001,,447.043,20.92953,32.45679,-1.37189
454.692,85.02067,30.61827,-0.36831,,455.945,42.67538,31.50962,-0.63944,,452.457,28.24396,32.60204,-0.96370,,452.043,21.17842,32.11807,-1.32811
459.692,86.01837,30.24695,-0.36327,,460.945,43.17406,31.19124,-0.61372,,457.457,28.57646,32.28301,-0.92450,,457.043,21.42741,31.7909,-1.28297
464.692,87.01841,29.91198,-0.35588,,465.945,43.6731,30.8965,-0.59046,,462.457,28.90911,31.98835,-0.88573,,462.043,21.67636,31.47864,-1.23391
469.692,88.01859,29.53266,-0.35577,,470.945,44.17245,30.6052,-0.56447,,467.457,29.24152,31.69529,-0.84911,,467.043,21.92545,31.17472,-1.18115
474.692,89.01952,29.18863,-0.34633,,475.945,44.6721,30.33082,-0.53245,,472.457,29.57388,31.41895,-0.80749,,472.043,22.17444,30.88502,-1.12395
479.692,90.0211,28.844,-0.33618,,480.945,45.1716,30.07048,-0.49779,,477.457,29.90647,31.15928,-0.76523,,477.043,22.42356,30.60854,-1.06699
484.692,91.02091,28.52365,-0.33425,,485.945,45.67177,29.83042,-0.46751,,482.457,30.23956,30.91116,-0.71916,,482.043,22.6732,30.36051,-1.01480
489.692,92.02264,28.14911,-0.32999,,490.945,46.17207,29.60103,-0.44026,,487.457,30.57294,30.6796,-0.66986,,487.043,22.92281,30.10487,-0.96344
494.692,93.02312,27.86035,-0.31284,,495.945,46.67232,29.39706,-0.41219,,492.457,30.90635,30.46628,-0.62251,,492.043,23.17265,29.87457,-0.90888
499.692,94.02452,27.54801,-0.30864,,500.945,47.17294,29.1918,-0.38676,,497.457,31.23975,30.26285,-0.57542,,497.043,23.42262,29.65374,-0.85214
504.692,95.02376,27.25029,-0.30376,,505.945,47.6733,29.00191,-0.36484,,502.457,31.5735,30.08009,-0.52855,,502.043,23.67259,29.44801,-0.79428
